year,quarter,sentence,prosus_score,prosus_label
2022,1,There's no question the ﬁrst quarter was extremely volatile.,0.8248854875564575,negative
2022,1,I believe we're entering a period that won't be -- that won't be the case and the consequences for ﬁnancial markets will be meaningful.,0.6194278597831726,negative
2022,1,"This meant that some parts of our ﬁrm faced signiﬁcant headwinds, like equity capital markets, where issuance volumes were lackluster for the quarter .",0.9664190411567688,negative
2022,1,"Early on, we took action to ensure the well-being of our people and to begin winding down our ﬁrm's operations in Russia.",0.6802884340286255,negative
2022,1,The overall direct ﬁnancial impact from Russia and Ukraine related instruments on our ﬁrst quarter revenues was a net loss of approximately $300 million.,0.9662557244300842,negative
2022,1,"More broadly , the Russian invasion has further complicated the geopolitical landscape and created an additional level of uncertainty that I expect will outlast the war itself.",0.8209707140922546,negative
2022,1,W e're seeing new stress on supply chain and commodity prices and US households are facing rising gas prices as well as higher prices for food and housing.,0.9314720630645752,negative
2022,1,W e've also seen an increased risk of stagﬂation and mixed signals on consumer conﬁdence.,0.9189397096633911,negative
2022,1,"In equity underwriting, net revenues were $261 million, down signiﬁcantly versus a record performance in the ﬁrst quarter of 2021 on the lower industry issuance volumes that David mentioned.",0.9760386347770691,negative
2022,1,"Debt underwriting net revenues were $743 million, 16% lower versus the prior year , driven by lower results in leveraged ﬁnance and asset-backed activity .",0.9745109677314758,negative
2022,1,"Equities intermediation revenues fell 16% year-over-year , driven by lower activity in both cash and derivatives due to fewer market-making opportunities compared to a very strong backdrop at the start of 2021.",0.9765814542770386,negative
2022,1,"While average prime balances declined slightly from record levels at year-end, opportunities to provide client liquidity increased, which drove stronger quarterly performance.",0.49506428837776184,negative
2022,1,"Moving to Asset Management on page six, ﬁrst quarter revenues were $546 million, materially lower than the ﬁrst quarter of last year due to market headwinds in equity investments and lending and debt investments.",0.9758291840553284,negative
2022,1,"Net revenues for equity investments were negative $360 our public and private portfolios, we experienced substantial losses tied to Russia-related positions, all of which have been written down to 0.",0.9724645018577576,negative
2022,1,"More broadly , we experienced additional headwinds due to the overall market environment.",0.9506757855415344,negative
2022,1,"All in, we experienced roughly $620 million of net losses in our public portfolio, of fset by approximately $255 million in net gains across our private portfolio, largely due to event-driven items, including asset sales and ﬁnancing rounds.",0.9564557075500488,negative
2022,1,"In W ealth Management, quarterly management and other fees were $1.3 billion, down 2% versus the fourth quarter of 2021 on seasonality and counseling fees, but up 17% year-over-year .",0.973029613494873,negative
2022,1,"Across these two segments, total ﬁrm-wide AUS ended the quarter at $2.4 trillion, with a quarterly decline, primarily driven by net market depreciation of $94 billion, partially of fset by $24 billion of long-term net inﬂows.",0.9757618308067322,negative
2022,1,"Provisions in the quarter were primarily due to the growth in our lending portfolio as well as broader macroeconomic factors, including a slowing growth outlook.",0.6005985736846924,negative
2022,1,"As we continue to expand our consumer business and grow our lending activities, we are cognizant that macro headwinds and inﬂationary pressures could potentially weigh on payment rates and thus portfolio performance.",0.7005136013031006,negative
2022,1,"Our total quarterly operating expenses were $7.7 billion, down 18% year-over-year .",0.9766978621482849,negative
2022,1,Our compensation ratio for the quarter net of provisions was 33%.,0.5970942974090576,negative
2022,2,"There is no question that the market environment has gotten more complicated and a combination of macroeconomic conditions and geopolitics is having a material impact on asset  prices, market activity and conﬁdence.",0.8417314291000366,negative
2022,2,W e see inﬂation deeply entrenched in the economy .,0.659485936164856,negative
2022,2,"In my dialogue with CEOs operating big global businesses, they tell me that they continue to see persistent inﬂation in their supply chains.",0.9601094722747803,negative
2022,2,"Our economist, meanwhile, say there are signs that inﬂation will move lower in the second half of the year .",0.9557652473449707,negative
2022,2,"Given all of this, we are seeing shifts in monetary policy and those shifts will continue to tighten economic conditions.",0.5742229223251343,negative
2022,2,I expect there is going to be more volatility and there is going to be more uncertainty .,0.42872804403305054,negative
2022,2,"In this environment, our on-balance sheet investments faced signiﬁcant headwinds after achieving record high net revenues in 2021.",0.9631930589675903,negative
2022,2,"Investment Banking generated revenues of $2.1 billion, down 41% versus a year ago.",0.9765197038650513,negative
2022,2,Industry volumes remain muted given the ongoing market volatility .,0.9341195225715637,negative
2022,2,"Debt underwriting net revenues were $457 million, where we saw lower levels of market activity amid sharp rate increases in the quarter .",0.8849676847457886,negative
2022,2,"While our Investment Banking backlog is down from the peak levels last year , it is still higher than it has been at any point in our history prior to 2021.",0.9402228593826294,negative
2022,2,"And while revenues were lower year-on-year in credit and mortgages, clients remain engaged.",0.9072684645652771,negative
2022,2,Equities intermediation revenues fell 2% year-over-year due to a more challenging market-making environment.,0.9760679602622986,negative
2022,2,Activity was also impacted by lower levels of primary issuance volumes.,0.9640021920204163,negative
2022,2,Asset Management net revenues of $1.1 billion were materially lower than the second quarter of last year .,0.9754448533058167,negative
2022,2,"Equity investments generated losses of $221 million, driven by sharp market declines during the quarter .",0.9740309715270996,negative
2022,2,"More speciﬁcally , on our public equity portfolio, we experienced roughly $660 million of net losses, reducing the value of the portfolio to approximately $2.8 billion at quarter end.",0.9726320505142212,negative
2022,2,"The pace of our realizations this quarter was inﬂuenced by both macro and micro drivers with persistent volatility in equity markets, making it more difﬁcult to harvest assets.",0.7975327968597412,negative
2022,2,"Net revenues from lending and debt investment activities in asset management were $137 million, down 78% versus a year ago as net interest income of $275 million was partly of fset by mark-to-market losses of approximately $140 million due to spread widening.",0.977020263671875,negative
2022,2,"While private banking and lending net revenues of $320 million were down relative to record results last quarter , revenues were up 23% year-on-year due to higher lending and deposit balances.",0.6463918685913086,negative
2022,2,"On Page 1 1, total ﬁrm-wide net interest income of $1.7 billion in the second quarter was down modestly relative to the ﬁrst quarter due to lower net interest income in Global Markets.",0.9758586883544922,negative
2022,2,Provisions in the quarter were primarily due to growth in our consumer lending portfolio and higher modeled losses due to economic indicators worsening quarter-over-quarter .,0.9348005056381226,negative
2022,2,"Our total quarterly operating expenses were $7.7 billion, down 1 1% year-over-year .",0.976434588432312,negative
2022,2,Our compensation ratio for the quarter net of provisions was 33%.,0.5970942974090576,negative
2022,2,Quarterly non-compensation expenses were $4 billion.,0.6447973251342773,negative
2022,2,"Speciﬁcally , we have made the decision to slow hiring velocity and reduce certain professional fees going forward, though these actions will take some time to be reﬂected in our results.",0.44587767124176025,negative
2022,2,"Turning to capital on Slide 13, our common equity Tier 1 ratio was 14.2% at the end of the second quarter under the standardized approach, down 20 basis points sequentially and representing an 80 basis point buf fer to our current capital requirement as we enter the second half of the year .",0.9717844128608704,negative
2022,3,Global economy continues to face signiﬁcant headwinds.,0.9650468230247498,negative
2022,3,Geopolitical instability and energy shocks are an ongoing concern and GDP  growth expectations are declining.,0.9660013318061829,negative
2022,3,"Investment Banking generated revenues of $1.6 billion, down 57% versus a very strong quarter a year ago.",0.9768236875534058,negative
