question_order,question_answer_group_id,speaker,role,company,content,year,quarter,content_type,score,label
47,0,Glenn Schorr,Analyst,Evercore,"Maybe the last quickie on credit is just with everybody having a job and there's wage inflation and excess cash, are there an y buckets of the
income that you're seeing the early -stage delinquencies picking up?",2022,1,question,0.5047420859336853,negative
55,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"One of the things I hated when CECL came out is that we'd spend a lot of time in every call yapping about CECL. I just think it's a huge
mistake for all of us to spend too much time on it.",2022,1,answer,0.8070821166038513,negative
86,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. I mean, you know that we're going to be reluctant to like predict the next three quarters of trading performance.",2022,1,answer,0.5008348226547241,negative
5,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Yeah, the only thing I would like to add is that certain loan growth is discretionary and portfolio- based. Think of mortgages, and there's a good
chance we're going to drive it down substantially.",2022,2,answer,0.625165581703186,negative
32,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"The other thing is, it's got bad effects for the economy because we're –  I just said, we're going to dr ive down this and drive down this, it's not
good for the United States economy. And the mortgage business, in particular, is bad for lower income mortgages, which hurts lower income,
minorities and stuff like that because we haven't fixed the mortgage busi ness, and now we're maki ng it worse. There's no real risk in it. It's not
a benefit to JPMorgan, but it hurts this country. And it's very unfortunate.",2022,2,answer,0.9442470073699951,negative
34,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"The balance...  ...well, no, we'll originate, but the balances in the books will probably come down. And look, we reserve the right to change that,
but that's a portfolio decision. And if it doesn't make sense to own mortgages, we're not going to own them.",2022,2,answer,0.5121475458145142,negative
62,0,Mike Mayo,Analyst,Wells Fargo,"Yeah. I think the only other thing is just Market revenues are a lot weaker, right? I mean the Market outlook is wors e, and so we know you had
structural spending. So when all else equal that'd be a little bit less then.",2022,2,question,0.9013147950172424,negative
70,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Our percent of that bridge brook has come down substantially just in the last 12 months and that's really just underwriting l oan by loan by loan,
and you win s ome and you lose some. And if you guys look at high yield spreads and stuff like that, bonds were down 6%, that's what you
see. So you have some flex and we're big boys, we know that, and there is write- downs of a couple of bridge loans. They're not huge. I think
they were in the I nvestment Banking line.",2022,2,answer,0.954173743724823,negative
10,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah, I'll take that, Ebrahim. Thanks. The short answer to that question is just no. We just don't see anything that you coul d realistically
describe as a crack in our actual credit performance. I made some comments about this in the prepared rem arks on the consumer side, but
we've done some fairly detailed analysis about different cohorts and early delinquency bucket entry rates and stuff like that . And we do see, in
some cases, some tiny increases . But generally in almost all cases, we think tha t's normalization , and it's even slower than we expect.",2022,3,answer,0.6829360127449036,negative
15,0,Jim Mitchell,Analyst,Seaport Global,"Hey. Good morning. Hey, Jeremy . At the Investor Day, you noted that expense growth in 2023 would slow from this year's level and might be
slightly higher than consensus expectations at the time. So, is that – now that you get closer to next year, does that still hold? And if the
economy does get worse than expected, is there some levers to pull? Or is it just still investing heavily, regardless?",2022,3,question,0.8286553025245667,negative
24,0,John McDonald,Analyst,Autonomous Research,"And just to follow up on Jamie's comments about not ann ualizing the fourth quarter, is that where the risks lie to annualizing the fourth
quarter? What are some of the puts and takes – you said it might be down a little bit from that fourth quarter annualized.",2022,3,question,0.9224262833595276,negative
41,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"They're roughly the same. We're just getting closer to what you and I might consider bad events. And my hurricane, I've been very consistent .
But looking at probabilities and possibili ties, there is still, for example, a possibility of a soft landing. We can debate  what  we think that
percentage is. Yours might be different than mine, but there's a possibility of a mild recession. Consumers are in very good shape, companies
are in very good shape, and there’s a  possibility  of something worse, mostly because of the war in Ukraine and oil price and all t he things like
that. I would not change my possibilities and probabilities this quarter versus last quarter, for me.",2022,3,answer,0.4835415780544281,negative
4,1,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Yeah. And I've always pointed out to you all , the pipelines come and go, okay? You've seen that the size we ’ve never had before. So, pipeline
is not necessary to see . I would put in your model , lower IB revenues next quarter than this quarter based on what we see today. Markets, we
have no idea. Seasonally, it's generally a low quarter in the fourth quarter, but we don't know this quarter because there's so much activity
taking place, and your guess is as good as ours.",2022,3,answer,0.7921565175056458,negative
2,2,Matt O’Connor,Analyst,Inc.,"And I guess when we read the headlines about home prices going down in some markets and car prices starting to roll, I mean why doesn't
that drive some tightening in those businesses?",2022,3,question,0.8580226898193359,negative
3,2,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Well, it has. I mean, look at , the volumes in mortgage have dropped, and cars quota  have dropped and stuff like that. And that's already in our
numbers , and we would expect that to continue that way.",2022,3,answer,0.9475385546684265,negative
12,0,Ebrahim Poonawala,Analyst,Bank of America,"Good morning. I guess maybe, Jeremy, just following up on the credit assumptions underlying  – if you cou ld give us a sense of what's
assumed in that reserve ratio at the end of the year, be it in terms of the unemployment rate, and your outlook around just a  lot of chatter
around commercial real estate, the struggles to reprice in the current rate backdrop. Are you concerned about that? Are you seeing pain points
in CRE customers given what's happening with cap rates and then just overall backlog today?",2022,4,question,0.6988334655761719,negative
20,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"No. I think it's the same. You have the Apples who are basically doing a lot of banking services and Walmar t starting theirs. And obviously,
higher rates will hurt some of the folks in the fintech world and maybe even help some of the folks. So we expect tough compe tition going
forward.",2022,4,answer,0.898323655128479,negative
26,0,Gerard Cassidy,Analyst,RBC,"Oh, I got it. Okay. I thought there was a write -down there. Okay.",2022,4,question,0.5666890144348145,negative
27,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,I want to make that clear. Sorry about that.,2022,4,answer,0.4783511459827423,negative
30,0,Gerard Cassidy,Analyst,RBC,"That's correct, Jeremy. And just in terms of any lending, obviously, so many of these companies have seen their valuations co me down
considerably. Is there any elevated risk lending to some of these companies considering the struggles  they're having?",2022,4,question,0.9380052089691162,negative
34,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,Oversimplifying.,2022,4,answer,0.7943970561027527,negative
49,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Sure. So, I mean, as you know, obviously, we tend to break down our expenses across our three categories. And in some sense, the category
that you're addressing is the volume - and revenue -related expense, which we highligh t because it should, pretty symmetrically, respond to a
better or worse environment and thereby contribute to operating leverage.
So, for example, in this year's ultimate outcome and the number that we wound up printing for 2022, the year -on-year change i n volume - and
revenue -related expense, we're still refining the numbers, we'll probably show you more at Investor Day, but is probably close to $1 billion – in
other words, year -on-year decline. Whereas next year we're assuming something more like flat. So , while the sort of year -on-year dollar
change in the outlook sort of 2021 to 2022, 2022 to 2023 is comparable, the mix is quite different actually.
And so, for example, if we wound up being wrong about the type of environment that we're budgeting for, you would expect a significant drop
in the volume - and revenue -related expense number that's in the current outlook, and that would contribute to operating leverage. For the rest
of it, we're always generating efficiency, and we've worked ju st as hard at that whether the revenue environment is good or bad.
And as you know, we invest through the cycle. And so, broadly, our investment plans really shouldn't be that sensitive to sho rt-term changes
in the environment. Of course, certain types of  things like marketing investments in the Card business in particular, the math of what we
expect the NPV of those things to be through the cycle may change in a downturn, and that could produce lower investment, all  else equal.
But the core strategic inve stments that we're making to secure the future of the company are not going to get modified because of the ups and
downs of the environment.",2022,4,answer,0.6656309366226196,negative
68,0,Matt O’Connor,Analyst,Inc.,"Good morning. How are you guys thinking about managing the securities book given the outlook of lower deposits? Obviously, th e yield curve
is quite inverted depending on what part you're looking at or most parts, frankly. And then at the same time, the securities boo k is cash flowing
a lot less than it was a couple years ago, just given the rate environment.",2022,4,question,0.573185920715332,negative
