question_order,question_answer_group_id,speaker,role,content_type,content,quarter,year
0,0,Glenn Schorr,question,question," so, trading question, i mean, markets business has been great, markets have been supportive. but i guess my question is to your comments on the regulatory perception perhaps of trading in general, and august looked like a spike in volatility , but looks like you did really well. this marks many quarters that you and others have done very well for years. do you feel the business is managed better? do you feel like your results mean anything towards the outcome on the regulatory side? i'm just curious on what the - if the evidence matters.",3,2024
1,0,David Solomon,answer,answer," i appreciate the question, glenn, and i mean, it's a hard question to answer . i think we've been clear on some of the advocacy we're doing around the regulatory process, but i've also been clear on regulatory environments, ebb and ﬂow and that people can be policy . and so, overtime, you see shifts in all this. and our job, and i think we've done this ef fectively over a very long period of time, is to adapt and adjust and be nimble to the dif ferent regulatory environments. with respect to the business of markets which includes fic intermediation and fic ﬁnancing and equities intermediation and equities ﬁnancing, i think we have an extraordinary leading franchise that we've invested in over a long period of time. w e have deep, deep client relationships, clients who rely on us for a package of services and that's not going away . and certainly , in this environment, this is an environment that's ﬁlled with uncertainty their need to constantly be engaging and repositioning and reshaping continues to make them very , very active on a broad global scale. i think that we've done a number of things to evolve the way we run the business over time that i think have made the business more durable. certainly , our focus and our emphasis on ﬁnancing and the way we've grown and managed the ﬁnancing businesses puts a level of durability into the business that's different than when the businesses were predominantly intermediation businesses. but intermediation continues to be an important service. and when you really step back and you step out a quarter-to-quarter and you look more year-to-year or year- over-year , these are very broad franchises across numerous silos, and they tend to be more resilient and more consistent than one might see when you look quarter-to- quarter . so, we feel good about the way the franchise is positioned, we’ll continue to invest in it and grow it. i think one of the things that people forget is that these businesses are correlated to growth in the world. they're correlated to market cap growth in the world. and as long as you believe, over the medium and long-term, those trends will continue with our capital generation we have the ability to invest in those franchises and grow those franchises over time, and we continue to see attractive return opportunities to do that. how the regulators respond to that over time, i really think is a separate question. and we'll continue to be actively engaged, as we've said to you, we are to ensure that we can manage that appropriately .",3,2024
2,0,Glenn Schorr,question,question," i appreciate that. this one will be a short follow-up. with hpi was weak, but that'll happen on any given quarter . i think if you look over a long period of time, you've earned good returns on your historical principal investments. but as that book shrinks the 10.9 that's left, the 4 billion attributed to it, if i take a, should i -- is it okay to take a historical roe-ish on that capital to think about the lower revenue corresponding to the lower book going forward on hpi?",3,2024
3,0,Denis Coleman,answer,answer," glenn, its denis. i guess what i would suggest you take a look at, we have obviously a commitment to reducing the balance of the historical principal investments. and as we continue to have success doing that, there will be less revenue associated with the positions that have now been moved of f of the balance sheet. but you will still see revenue generation associated with some of the co-invest positions that we retain as a piece of driving our overall growth of our third-party fund management business as to guidance on future projected returns on that portfolio, i don't think i have a good answer as to exactly what future returns will be relative to prior returns, but i would suggest to you that we have a very diversiﬁed portfolio of exposures and a long-standing track record of delivering good returns for our clients.",3,2024
0,1,Ebrahim Poonawala,question,question," i just had a follow-up ﬁrst on trading and maybe david would appreciate your perspective around when we read about non-bank trading venues, getting into ﬁxed income markets, potentially sort of disrupting the business for the incumbents. comment on that if you may - you could in terms of other parallels to the equity business that we should draw? and how much of a competitive threat are the non- bank/non-regulated entities, especially given your comments around the regulatory backdrop and kind of the basel end-game, reproposal and the opaqueness around that? thank you.",3,2024
1,1,David Solomon,answer,answer," yes. sure, ebrahim, and i appreciate the question, and this gets a lot of attention, particularly in the press. but i think there are a couple of things when you stand back that are important to think about. and look, the equities journey is a relatively good journey . there's been lots of -- ﬁrst of all, there's lots of competition in all these businesses. there's always been competition, but there are very few platforms that offer the leading capital allocators and asset managers in the world, the scale and the breadth across all the services that they need in an integrated basis. and that's very, very important to those clients when you go out and you talk to those clients. there can always be competition and there always will be competition. i just highlight, our equity business is as large and as scaled and as proﬁtable as ever . even though over the last 25 years, there's been enormous competition in the equity business. there's been digitization, there's been changed, there are now a handful. by handful, i'd say less than a handful. there are now one or two players that are trying to compete in some of the credit spaces, et cetera. and will they compete and will they win business? of course, they'll win business. but these are big, big markets. w e offer scaled solutions that are integrated for our clients and we continue to be enormous liquidity provider , ﬁnancier of those clients, which by the way is very , very important to them for the way their overall ecosystem works. so while these businesses always will be competitive and they continue to be competitive, again, we feel very good about the way our franchise is positioned to continue to be a leading player for our clients in these spaces.",3,2024
2,1,Ebrahim Poonawala,question,question," understood. and just a follow-up on -- back to roe and conversations with investors around, you have done a good job over the last year or two, performance has been strong. stocks reﬂected that. as we think about the journey here from a 12%, 13% roe to something that's maybe 15% plus, what are the building blocks one could argue that the market backdrop, not the best, but not the worst? what needs to happen for goldman to get to a point where we are registering a 15%-type roe on a more recurring basis? thank you.",3,2024
3,1,David Solomon,answer,answer," well, i appreciate the question. and we've been very clear , we have a mid-teens target and that we believe we are on the journey of executing towards it. i think the ﬁrst thing that has to happen is we need to continue to execute over a period of time to deliver on that. and again, i think it's a pretty simple building block of a story . first, we have a global banking and markets business, and you can go look at the performance over the last ﬁve years of that business and the returns that, that business has delivered. i would say that i still believe we have some tailwind dynamics around the investment banking activity , and i just highlight that while investment banking revenues have improved, and we've made progress, we are still not operating at 10-year averages in m&a  and equity volumes. m&a  volumes year-to-date are 13% below 10-year averages. now that's better than the 25% below 10-year averages that they were for the ﬁrst nine months of last year and equity volumes at 27% below 10-year averages. now that's better than the 34% to 35% that they were below 10-year averages for the ﬁrst nine months last year . but there's no reason why we're not going to get back to 10-year average is a tailwind, but you can look at the performance in banking and markets, and that's one building block in the foundation for mid-teens returns. the second is our continued progress, which requires more time and more execution on our part around asset and w ealth management. and while we've improved the margins, we still have work to do on the margins and also the returns, and we continue to be very focused. but we are conﬁdent over the course of the next few years that we can bring the returns of our asset & w ealth management franchise into the mid-teens. the next building block or the last building block is we continue to narrow our consumer footprint and the drag associated with the platform business, that will get to a point where it basically becomes negligible. it's getting closer to that. and so, if you put those building blocks together , global banking and markets, its actual performance with a little bit more of a tailwind, which obviously it beneﬁts from continued progress on asset and w ealth management, that is our business, and we should be able to deliver those returns. w e're focused on it. w e have more work to do, but that is the path, and i think it's pretty clear .",3,2024
0,2,Christian Bolu,question,question," can you hear me? i just have a question on the trading business and the competitive landscape. how are you thinking about the -- maybe the broader competitive landscape with the -- with other banks? your market share seemed to peak in 2022. it's been a bit choppy since then as a market share. just curious, are you seeing signs of competitors coming back, increasing competition from anywhere. i'm just curious on your thoughts there.",3,2024
1,2,David Solomon,answer,answer," when you have leading market shares, our global banking & markets franchise, you bounce around at dif ferent levels based on short-term activity , but what i'd say is if you step back and you look over the last ﬁve years, we took a step function up in our market share broadly across the plot. and so, from quarter-to-quarter , you'll see variability . but i still think those market shares are positioned in a leading position, and we're zealously focused on them. w e're zealously focused on the top 150 clients, which obviously make a huge contribution to the markets business. w e're obviously always focused on our overall banking footprint and the opportunities there. and obviously , in a better m&a  environment where there's more large cap m&a. you do see some movement in our market share. so that's a market share tailwind for us. they've always been competitive business, christian. again, we think we're very well positioned with our clients and have deep trusting long-term relationships and through our one goldman sachs operating ethos, a history of delivering for them through the cycle. there's always going to be competition, but we like the way our business is positioned. and i don't see anything that fundamentally changes that, but have operated in these businesses. w e've operated in these businesses for a long time. there are always going to be competitive businesses. chinedu bolu okay . on private banking, just another set of very strong results there, i think revenue growth up 10%. and if i'm doing my math correctly , organic ﬂows are in the high single-digit range, which would put you, i think, best in class. so just remind us again like what's driving strength there? and then maybe any key initiatives for growth over the next couple of years that should help sustain this growth.",3,2024
