question_order,question_answer_group_id,speaker,role,company,content,year,quarter
0,1,John E. McDonald,Analyst,Autonomous Research,"Thank you. Morning, Jeremy. Was wondering about the net interest income outlook, I know it sounds like we'll get more at Inve stor Day, but
it's very similar to what you gave in mid-February and obviously rate expectations have advanced since then. Could you give us a little bit of
color and what kind of assumptions are underlying the net interest income ex Markets outlook?",2022,1
1,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Good morning, John. Good question. Yeah, look, obviously given what's happened in terms of Fed hike expectations and what's g etting priced
into the front end of the curve, we would actually expect the excess part of in excess of $53 billion to be b igger than it was at a Credit Suisse.
So to size that, probably a couple billion dollars. But we don't want to get too precise at this point. We want to run our bo ttoms -up process.
There have been very big moves and we want to get it right. And so we'll gi ve more detail about that at Investor Day.",2022,1
2,1,John E. McDonald,Analyst,Autonomous Research,"Okay. And as my follow up, could you give us some thoughts about the markets related NII? What things should we think about t here, whether
it's seasonality or how it's affected by rising rates?",2022,1
3,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. I guess I would direct you to my comments I think one or two quarters ago on this, but generally speaking that number i s pretty
correla ted to the short -term rate. So all else equal, you'll see a headwind in there as the Fed hikes come through which in general in the
geography, we would tend to expect that to be offset in NIR. But it's noisy. It can shift as a function of obscure balance s heet composition
issues as I've mentioned in the past. And so that's why we don't focus too much on that number.",2022,1
4,1,John E. McDonald,Analyst,Autonomous Research,Okay. Thanks.,2022,1
5,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Thanks, John .",2022,1
0,2,Ken Usdin,Analyst,Jefferies LLC,"Hi. Thanks. Good morning. Jeremy, just wanted to follow up on your comments about capital and being able to provide room for organic
growth. With 5.2% SLR, 11.9% CET1 versus your longer -term targets, can you talk about what that means in terms of the buyback potential
from here? And do any of the RWA inflation items come back off that you just saw in the first q uarter? Thanks.",2022,1
1,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Thanks. So let me just give some high level comments about the CET1 trajectory and so on. So as you know, we went into the quarter
with elevated buffers, knowing that we  would have denominator growth as a result of the adoption of SA -CCR, and of course that happened
and we would have expected roughly to be at 12.5% right in the middle of the range for this quarter. Of course, it was an unu sual quarter in a
number of ways.  And so we saw RWA inflation from market risk which we've talked about and the AOCI drawdown and a number of other
slightly smaller factors producing the 11.9%.
From where we sit here, to your point, a number of these items are in fact going to bleed back in relatively quickly, some faster than others. So
we would expect a significant portion of the RWA inflation to bleed out, obviously, to decay out. The AOCI drawdown will obvi ously come back
over time and probably most importantly to the prior questi on, the higher rate outlook is improving the revenue outlook which will of course
accrete to capital.
So then if you line that up against the sort of rising minimums, of course, we have the increase in the GSIB requirement in t he first quarter of
2023 com ing in and then there's the question of SCB where we don't know obviously, but given the countercyclical nature of the stress  and the
fact that the unemployment launch point is a lot lower and the unemployment rate is floored in the Fed's scenario, you mig ht expect SCB to be
a little bit higher when it's published in June effective in the fourth quarter. But that gives us time to make any adjustmen ts that we need to
make.
So I guess to summarize, when we put all this together between improved income genera tion, some of the denominator decay effects, and the
various levers that we have available to pull across the dimension of time as new information comes into play, we really feel  quite good about
our capital position from here and the trajectory as we look  forward and minimums evolve.",2022,1
2,2,Ken Usdin,Analyst,Jefferies LLC,"And just a follow up there too, is there anything you need to consider structurally in terms of like adding preferreds to hel p bridge the gap or is
it just going to be enough to organicall y build back with possibly just utilizing less buybacks to allow things to just grow back?",2022,1
3,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. I think – I guess in general, we haven't wanted to say a lot publicly about our preferred actions. As you know, some of these instruments
are callable and we have choices to make about whether or not we call them to adjust to different situations, so I think that 's an example of the
types of levers that we have available to pull as th e environment evolves. But from where we sit today with the numbers that I'm looking at, we
have a pretty clean trajectory to get to where we want to be.",2022,1
