question_order,question_answer_group_id,speaker,role,company,content_type,content,quarter,year,score,label
3,6,Devin Ryan,Analyst,Citizens JMP,question," okay . terriﬁc. thanks for the color . quick follow-up just on the operating leverage in the model and maybe just starting on comp ratio. i know it's very the year , so it's hard to give much of a prediction. but comp ratio net provision was 100 basis points lower than the ﬁrst quarter of last year , even with, i would say , kind of an unfavorable mix. so is there anything we should read into that just around kind of how to think about the full year and just overall leverage on comp relative to revenues based on the current backdrop?",1,2022,0.7751936316490173,negative
2,0,Glenn Schorr,Analyst,Evercore,question," okay . very much appreciated. and then one quick follow-up, obviously , ecm and dcm pipelines are down a lot given what we have seen. but you noted that your advisory backlog is actually up. i wonder if you could expand on that a little bit, because we haven’t seen a lot of activity these days in m&a? thanks.",2,2022,0.804909348487854,negative
0,4,Mike Mayo,Analyst,Wells Fargo,question," hi, i guess i’m thinking in terms of the trade-of fs that you have to make, david, in terms of both capital and expenses. on capital, i mean, you talked about a broader , diverse, resilient, more annuity-like business stream, but then we get the fed stress test results and you guys ﬁnished in last place, albeit better than last year but still last place. so i guess the regulators don’t see it the same way that you do. and the trade-of f between managing for lower regulatory capital requirements versus the loss of revenues. and then the other dynamic decision is managing expenses lower . as you said you’re taking a closer look at that, the trade-of f between ensuring good proﬁt margins but at the risk of maybe losing revenues if things come back.",2,2022,0.5138037204742432,negative
1,5,Denis Coleman,CFO,Goldman Sachs,answer," sure. so two components to your question. and obviously , we manage the ﬁrm to an efﬁciency ratio, looking at both the comp side and the non-comp side of the equation meaning as you would have seen through the ﬁrst half of the year , we’ve taken compensation expense down signiﬁcantly , $3.5 billion less comp expense in the ﬁrst half versus the ﬁrst half last year . and at the same time, we did see some increases on the non-compensation side of the equation. as we look forward into the second half, as we indicated, yes, slow velocity of hiring, decreased replacement of attrition, probably reinstating our annual performance review of our employee base at the end of the year , something that we suspended during the period of the pandemic for the most part and just being much more disciplined and focused on utilization efﬁciency of our human capital resources, given overall environment. and you’re right, some of that will take time to reﬂect itself through the p&l. so i think that’ s the right expectation. you are correct in anticipating that we’re also looking at non-compensation expenses and taking some actions there as well to slow the rate of growth and reduce certain components of our non- compensation expense. some of them are – dovetail well with investments that we’re making to grow the ﬁrm. and some of those activities will obviously look to continue. we may slow the pace, but we will continue to grow the activities that support the growth of the ﬁrm. and there are other items in non-compensation expense, occupancy as an example or travel expenses, where we actually see the impact of inﬂation, impacting on the overall level of expense. and so that’ s just going to require us to work harder to manage towards our overall efﬁciency target, which is i think the comments and references that both david and i have made with respect to our orientation on the expense front.",2,2022,0.4981035590171814,negative
2,5,Brennan Hawken,Analyst,UBS,question," okay , great. thanks for that color , denis. appreciate it. and for the second question, i am curious, we have seen – you talked a lot about m&a  and how , obviously , your investment bank franchise is holding up really well. but just sort of a question around the environment and we have seen riskier debt issuance slow a lot year-to-date and started to hear chatter that availability has actually continued to become challenging. so, curious whether or not that’ s also what you are seeing and whether or not there is any concern that, that availability , lesser availability might become a challenge and lead to some pockets of stress for some of the more levered borrowers?",2,2022,0.7605715394020081,negative
2,6,Devin Ryan,Analyst,Citizens JMP,question," okay , great. thanks. and then a follow-up here, denis just touched on this, but we heard a lot about trading client deleveraging through the second quarter that drove down prime brokerage and margin balances at a number of ﬁrms in the industry . it didn’t seem to impact your trading or ﬁnancing results. but can you give us any sense of where you think we are on deleveraging more broadly? is there another leg that could exist here or clients now operating at lower levels of leverage relative to recent history and how that interplays with your trading outlook as well?",2,2022,0.7742505669593811,negative
3,10,Gerard Cassidy,Analyst,RBC,question," very good. and just as a follow-up, maybe you guys can give us a little deeper color into the ecm business. obviously , according to the dealogic numbers, the ﬁrst six months of this year , we all know were very weak and market conditions, we recognize as being the driver . but david, you alluded to maybe the price expectations are coming down. w as it primarily just the volatility that pushed everybody to the sideline? w as it lower valuations that pushed them there? what did you guys see as the biggest drivers for these really weak numbers for the industry , not just for you folks?",2,2022,0.7916961908340454,negative
4,10,David Solomon,CEO,Goldman Sachs,answer," yes. it’ s – i think it’ s a combination, gerard, of all those things. you had a meaningful decrease in values in the public market and in the private market. you also had real volatility . and so people go down the road, doing an ipo, it’ s like a tanker . it’s heading down the road. it takes months and months and months of preparation, sometimes years of preparation. and you get your mind and you get with all the shareholders that you are going to go public at a particular value, a particular price. and all of a sudden, the value of the price is 20% or 30% less and the whole tanker just stops. they can’t turn on a dime and get everybody’ s mind reset. and so i think a shift in valuations and that volatility had a big impact. the period in terms of the anemic nature of equity capital markets issuance kind of reminds me of the period in 2002, where we obviously had enormous growth in equity capital markets activity in 1999, 2000, 2001. and then in march 2001, you started to see a real change in market and valuation. it was the beginning of a decline in the nasdaq, where the nasdaq ultimately went down 85%. i am not saying that that’ s going to happen again here. but really , equity issuance shutof f in late 2001 and 2002 was a really , really anemic year for equity issuance and started picking back up again in 2003. and so there is a reset process with all of this. and i think we are on the journey of people’ s expectation around valuations being reset.",2,2022,0.5815638303756714,negative
0,11,Jim Mitchell,Analyst,Seaport Global,question," hey. good morning. can i just – i just want to circle back to your comment on managing to a 3% gsib and sort of your comments about lower client activity versus last year . but i think on the ﬂip side, you guys are pretty optimistic around growing – still growing the ﬁnancing business. it looks like trading assets are up year-over-year or ﬂat year-over-year . loans are up, balance sheet is up. so, is this just something about balance sheet and r wa growth slowing or is there speciﬁc areas you think will shrink or you can cut?",2,2022,0.705302894115448,negative
1,12,David Solomon,CEO,Goldman Sachs,answer," i would say , dan, at the moment, at a high macro level, we are not seeing signiﬁcant change in behavior . when you look at the institutional capital allocators around the world, the institutional capital allocators have signiﬁcant allocations. obviously , if the overall value of the portfolio has decreased, the allocation percentage would shift, and so that will slow down capital raising. but i think for leading big global platforms that are multiproduct and global, i still think there is a secular growth trend around alternatives that’ s very , very attractive probably not at the exact same pace and that you saw in 2021, but certainly a strong secular growth trend that kind of moves forward with respect to allocations of capital by big institutional allocators into the space. i would say one of the places that a number of participants in the market, we have not been as big a participant, but there has been a lot of retail ﬂow into the alternative space. and there my insight there is that is slowing, but it’ s not turned of f and it’ s still adequate. and from what i can see in our private wealth lens that we have with a very , very high-end private wealth business, there is still signiﬁcant interest in alternatives as people move forward, so something to watch. if the environment got much worse, may be that would change, but at the moment, not seeing indications that the changes are meaningful.",2,2022,0.575985848903656,negative
