question_order,question_answer_group_id,speaker,role,company,content,year,quarter,content_type,score,label
3,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. I guess I would direct you to my comments I think one or two quarters ago on this, but generally speaking that number i s pretty
correla ted to the short -term rate. So all else equal, you'll see a headwind in there as the Fed hikes come through which in general in the
geography, we would tend to expect that to be offset in NIR. But it's noisy. It can shift as a function of obscure balance s heet composition
issues as I've mentioned in the past. And so that's why we don't focus too much on that number.",2022,1,answer,0.5105767846107483,Negative
45,0,Glenn Schorr,Analyst,Evercore,That doesn’t sound so bad.,2022,1,question,0.9842995405197144,Negative
53,0,Gerard Cassidy,Analyst,RBC,"Can we follow up on your comments about building up the reserves? I think you said it was $902 million that you guys built up , and it was due
to high inflation and the war in the Ukraine. How much was it due to inflation? And when you made that comment, is  it because you're
concerned about the lower end consumer spending more money for fuel and food that may lead to greater delinquencies down the road? And
how much was it due to the Ukraine situation?",2022,1,question,0.5333150625228882,Negative
55,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"One of the things I hated when CECL came out is that we'd spend a lot of time in every call yapping about CECL. I just think it's a huge
mistake for all of us to spend too much time on it.",2022,1,answer,0.9996016621589661,Negative
77,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"...you'd be shocked. So obviously, we're aware of that all the time in everything we do.",2022,1,answer,0.8217454552650452,Negative
86,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. I mean, you know that we're going to be reluctant to like predict the next three quarters of trading performance.",2022,1,answer,0.9998836517333984,Negative
94,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,Very hard to tell. There was some improvement and then there was Ukraine and now it's all mixed again. So it's hard to tell.,2022,1,answer,0.5874635577201843,Negative
13,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. And, Glenn, just remember that we did do that last quarter, right? So we already introduced a sort of skew to the outlook beyond what's
implied by the market to reflect our own slightly more negative view. And in a sense, arguably we were sort of early on that, so it really wasn't
necessary t his quarter.",2022,2,answer,0.9997158646583557,Negative
30,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"But another very important point for shareholders, that number, when they –  that doesn't even remotely – the stress loss doesn't even
remotely represent what would happen under that kind of scenario. And I'm not s aying the Fed says it should or shouldn't, but I would tell you
we'd make money under that scenario. We wouldn't lose, I think they had us losing $44 billion. There's almost no chance that that would be
true.
And I just –  so I –  and I feel bad for the shareholders because people look at that and s ay, well, what's going to happen? I mean but  there's
good evidence, we didn't lose money after Lehman, we didn't lose money in the great – what just happened. We didn't lose money in great
financial recession.
The company's got huge underlying earnings power and consistent revenues in CCB, Asset Management custody, payment services. And
then we have some kind of fairly volatile streams. And now we've got the CECL, which obviously can go up or down quite a bit.  But again,
that's an accounting entry. And so we feel we're in very good shape. We just have to hold a higher number now and we're going to go there.",2022,2,answer,0.9909407496452332,Negative
32,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"The other thing is, it's got bad effects for the economy because we're –  I just said, we're going to dr ive down this and drive down this, it's not
good for the United States economy. And the mortgage business, in particular, is bad for lower income mortgages, which hurts lower income,
minorities and stuff like that because we haven't fixed the mortgage busi ness, and now we're maki ng it worse. There's no real risk in it. It's not
a benefit to JPMorgan, but it hurts this country. And it's very unfortunate.",2022,2,answer,0.9988038539886475,Negative
36,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"We're going to keep a buffer –  I'm not even sure what the SCB means at this point. We're not going to go below any regulatory minimum. And
if we have to, we'll just drive down credit more to create what we've got to create. It's a terrible way to run a financial system,  and we owe you
more on what we think that buffer should be because we have so much – what I think is so much excess c apital. It ju st causes huge confusion
about what you should be doing with your capital.
But just keep in mind one thing, we're earning 17% of tangible equity, we can continue doing that. The company is in great shape. We're going to serve our clients and manage the hell out the rest of this stuff. We still think we have great businesses and stuff like that. And that's what
we're going to do. Most of this stuff doesn't create any additional risk at all, it just creates capital.",2022,2,answer,0.7397668361663818,Negative
38,0,James Mitchell,Analyst,Seaport Global,"Hey. Good morning. Maybe just on expenses, if I kind of look at the first half with this slowdown in investment banking, I think your annualized
is less than $76 billion, but you're still targeting $77 billion. Is that implication of just higher investment spend in the second half? Or just
uncertainty around ge tting th e pipeline completed or not and just assuming it might get done until we know better?",2022,2,question,0.6304844617843628,Negative
43,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"...right. Exa ctly. Obviously still running well below normal levels from the pre- pandemic period. But if you really want to kind of turn up the
magnification on the microscope and look really, really, really closely, if you look at cash buffers in the lower income segm ents and early
delinquency roll -rates in those segments, you can maybe see a little bit of an early warning signal to the effect that the burn- down of excess
cash is a little bit faster there, b uffers are still above what they were pre- pandemi c but coming down,  and that absolute numbers for the typical
customer are not that high.
And you do see those early delinquency buckets still below pre- pandemic levels but getting closer in the lower income segment. So if you
wanted to try to look for ear ly warning si gnals, that's where you would see it. But I think there's really still a big question about whether that's
simply normalization or whether it's actually an early warning sign of deterioration. And for us, as you know, our portfolio is really n ot very
expos ed to that segment of the market, so not really very significant for us.",2022,2,answer,0.6999560594558716,Negative
62,0,Mike Mayo,Analyst,Wells Fargo,"Yeah. I think the only other thing is just Market revenues are a lot weaker, right? I mean the Market outlook is wors e, and so we know you had
structural spending. So when all else equal that'd be a little bit less then.",2022,2,question,0.9999927282333374,Negative
70,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Our percent of that bridge brook has come down substantially just in the last 12 months and that's really just underwriting l oan by loan by loan,
and you win s ome and you lose some. And if you guys look at high yield spreads and stuff like that, bonds were down 6%, that's what you
see. So you have some flex and we're big boys, we know that, and there is write- downs of a couple of bridge loans. They're not huge. I think
they were in the I nvestment Banking line.",2022,2,answer,0.9986275434494019,Negative
75,0,Erika Najarian,Analyst,UBS,"Got it. And my follow up question is for Jamie. Jamie, we've heard your caution about the economy, and I think there's a bigger debate on how
the US consumer is going to be impacted in light or in contact with the downturn. T he statistics that Jeremy laid out imply a pretty healthy
starting point for the consumer that you bank, and the reserve build for loan growth in Card and the less than 2% loss rate in C ard lead us to
believe that your consumer is still okay. As you think about the various scenarios and you think about the realistic range of outcomes, how
does the US consumer perform, because it feels l ike that's the big wild card. And we've seen the journal term, a job flow or recession. I just
wanted to get your thoughts there.",2022,2,question,0.586857259273529,Negative
10,2,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. And that showed exceptionally low losses in wholesale, so I'm not sure whether or not that's a prediction of the future or not, but yeah.",2022,2,answer,0.7975422143936157,Negative
13,2,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Let me say it very simply for you. In COVID, we got to 15% unemployment within three months. And in two quarters, we added $15 billion ,
which we can easily handle. That is clearly –  I always put that almost out as the  worst case. It'll clearly be a lot less than that, and you guys
could look at the thi ngs yourselves . Every 5% is another $500 million or something like that, if you change odds and so on...",2022,2,answer,0.6350849866867065,Negative
15,0,Jim Mitchell,Analyst,Seaport Global,"Hey. Good morning. Hey, Jeremy . At the Investor Day, you noted that expense growth in 2023 would slow from this year's level and might be
slightly higher than consensus expectations at the time. So, is that – now that you get closer to next year, does that still hold? And if the
economy does get worse than expected, is there some levers to pull? Or is it just still investing heavily, regardless?",2022,3,question,0.6404035687446594,Negative
24,0,John McDonald,Analyst,Autonomous Research,"And just to follow up on Jamie's comments about not ann ualizing the fourth quarter, is that where the risks lie to annualizing the fourth
quarter? What are some of the puts and takes – you said it might be down a little bit from that fourth quarter annualized.",2022,3,question,0.9393685460090637,Negative
41,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"They're roughly the same. We're just getting closer to what you and I might consider bad events. And my hurricane, I've been very consistent .
But looking at probabilities and possibili ties, there is still, for example, a possibility of a soft landing. We can debate  what  we think that
percentage is. Yours might be different than mine, but there's a possibility of a mild recession. Consumers are in very good shape, companies
are in very good shape, and there’s a  possibility  of something worse, mostly because of the war in Ukraine and oil price and all t he things like
that. I would not change my possibilities and probabilities this quarter versus last quarter, for me.",2022,3,answer,0.8318683505058289,Negative
62,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah, on that point, Glenn, I was going to say the same thing what was traditionally the case that emerging markets struggle,  sovereigns
struggle with the kind of dollar strength that we're expe riencing right now, but our emerging markets franchise folks have been through these
cycles before, so we manage through it.",2022,3,answer,0.9997699856758118,Negative
0,1,Gerard Cassidy,Analyst,RBC,"Thank you. Good morning, Jeremy, and good morning, Jamie. You guys have been talking about the system, the liquidity with – Jamie, you
referenced QT, also the fragility of the system. Can you share with us what are the metrics you guys are looking at to see if  the system does
have a problem on liquidity? Just this week you probably saw that the Swiss National Bank upped its res erve currency swap lines to $6.3
billion. So, what are some of the things you guys focus in on to see if there's going to be maybe more – some liquidity issues that could lead to
greater problems?",2022,3,question,0.9431707859039307,Negative
2,2,Matt O’Connor,Analyst,Inc.,"And I guess when we read the headlines about home prices going down in some markets and car prices starting to roll, I mean why doesn't
that drive some tightening in those businesses?",2022,3,question,0.9496372938156128,Negative
3,2,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Well, it has. I mean, look at , the volumes in mortgage have dropped, and cars quota  have dropped and stuff like that. And that's already in our
numbers , and we would expect that to continue that way.",2022,3,answer,0.9991024732589722,Negative
