year,quarter,sentence
2022,1,"These results include approximately $900 million of credit reserve builds, which I'll cover in more detail shortly, as well a s $500 million of
losses in credit adjustmen ts and other in CIB."
2022,1,Revenue of $31.6 billion was down $1.5 billion or 5% year on year.
2022,1,"NIR ex Markets was down $2.2
billion or 17% predominantly driven by lower IB fees, lower home lending production revenue, losses in credit adjustments and  other in CIB as
well as investment securities losses in corporate."
2022,1,And markets revenue wa s down $300 million or 3% against a record first quarter last year.
2022,1,"Net charge -offs of $582 million were down year -on-year and comparable to last quarter and remain historically low across our
portfolios."
2022,1,"Our CET1 ratio ended at 11.9%, down 120 basis points from the prior quarter."
2022,1,"The rate selloff led to AOCI
drawdowns in our AFS portfolio, but keep in mind, all else equal, these mark -to-market losses accrete back to capital through time and as
securities mature."
2022,1,"CCB reported net income of $2.9 billion on
revenue of $12.2 billion, whi ch was down 2% year -on-year."
2022,1,"In Home Lending, revenue was down 20% year -on-year, on lower production revenue from both lower ma rgins and volumes against a very
strong quarter last year, largely offset by higher net servicing revenue."
2022,1,"Originations of $24.7 billion declined 37% with the  rise in rates, and as
a result, mortgage loans were down 3%."
2022,1,"Moving to Card & Auto, revenue was down 8% year -on-year, primarily on strong new card account originations leading to higher acquisition
costs."
2022,1,"And in Aut o, originations were $8.4 billion, down 25% due to the lack of vehicle supply, while loans were up 3%."
2022,1,"Investmen t Banking revenue
of $2.1 billion was down 28% versus the prior year."
2022,1,IB fees were down 31% year -on-year.
2022,1,"Debt underwriting fees were down 20%, primarily driven by leveraged finance as i ssuers contended with market volatility."
2022,1,"And in equity
underwriting, fees were down 76% on lower issuance activity, particularly in North America and EMEA."
2022,1,"Moving to Markets, total revenue was $8.8 billion, down 3% against a record first quarter last year."
2022,1,"Fixed income was relatively flat, driven by a
decline in securitized products, where rising rates have slowed down the pace of mortgage production, largely offset by growt h in currencies
and emerging markets and commodities on elevated client activit y in a volatile market."
2022,1,"Equity Markets were down 7% against an all -time
record quarter last year."
2022,1,"Credit Adjustments & Other was a loss of $524 million, driven by funding spread widening as well as credit valuation adjustme nts relating to
both increases in commodities exposures and markdowns of derivatives receiva bles from Russia -associated counter parties."
2022,1,"The
extreme price movements created margin calls, which we and other banks are helping to address."
2022,1,"Revenue of $2.4
billion was flat year -on-year with higher payments revenue and deposit balances offset by lower Investment Banking revenue."
2022,1,"Gross
Investment Banking  revenue of $729 million was down 35%, driven by both fewer large deals and less flow activity."
2022,1,"Deposits were
down 2% quarter -on-quarter, as client balances are seasonally highest at year -end."
2022,1,"Turning to Corporate on page 8, Corporate reported a net loss of $856 million."
2022,1,"Rev enue was a loss of $881 million, down $408 million year -
on-year."
2022,1,"NII was up $319 million due to the impact of higher rates, and NIR was down $727 million due to losses on legacy equity  investments
versus gains last year, as well as approximately $400 milli on of net realized losses on investment securities this quarter."
2022,1,"Expenses of $184
million were lower by $692 million year -on-year, primarily due to the contribution to the firm's foundation in the prior year."
2022,1,"And, of course, our thoughts remain with everyone, including our
employees, affected by Russia's invasion of Ukraine."
2022,2,"NIR ex markets was down $3.6 billion or 26%, largely driven by lower IB fees and
higher card acquisition costs."
